0.5, 0.25, 0.24, 0.25, 0.00, 0.00, 0.00, 0.2950, 2
0.0, 0.75, 0.39, 0.00, 0.00, 0.25, 0.00, 0.5120, 1
0.5, 0.25, 0.63, 0.00, 0.25, 0.00, 0.00, 0.7580, 0
0.0, 0.50, 0.36, 0.00, 0.00, 0.00, 0.25, 0.4450, 1
0.5, 0.25, 0.27, 0.00, 0.25, 0.00, 0.00, 0.2860, 2
0.5, 0.25, 0.50, 0.00, 0.25, 0.00, 0.00, 0.5650, 1
0.5, 0.50, 0.50, 0.00, 0.00, 0.00, 0.25, 0.5500, 1
0.0, 0.75, 0.19, 0.00, 0.00, 0.25, 0.00, 0.3270, 0
0.5, 0.25, 0.22, 0.00, 0.00, 0.00, 0.25, 0.2770, 1
0.0, 0.75, 0.39, 0.00, 0.00, 0.25, 0.00, 0.4710, 2
0.5, 0.25, 0.34, 0.25, 0.00, 0.00, 0.00, 0.3940, 1
0.0, 0.50, 0.22, 0.00, 0.00, 0.00, 0.25, 0.3350, 0
0.5, 0.50, 0.35, 0.00, 0.00, 0.25, 0.00, 0.3520, 2
0.0, 0.75, 0.33, 0.00, 0.25, 0.00, 0.00, 0.4640, 1
0.5, 0.25, 0.45, 0.00, 0.25, 0.00, 0.00, 0.5410, 1
0.5, 0.25, 0.42, 0.00, 0.00, 0.00, 0.25, 0.5070, 1
0.0, 0.75, 0.33, 0.00, 0.25, 0.00, 0.00, 0.4680, 1
0.5, 0.75, 0.25, 0.00, 0.00, 0.25, 0.00, 0.3000, 1
0.0, 0.50, 0.31, 0.00, 0.25, 0.00, 0.00, 0.4640, 0
0.5, 0.25, 0.27, 0.25, 0.00, 0.00, 0.00, 0.3250, 2
0.5, 0.25, 0.48, 0.00, 0.00, 0.00, 0.25, 0.5400, 1
0.0, 0.75, 0.64, 0.00, 0.00, 0.00, 0.25, 0.7130, 2
0.5, 0.50, 0.61, 0.00, 0.25, 0.00, 0.00, 0.7240, 0
0.5, 0.25, 0.54, 0.00, 0.00, 0.00, 0.25, 0.6100, 0
0.5, 0.25, 0.29, 0.25, 0.00, 0.00, 0.00, 0.3630, 0
0.5, 0.25, 0.50, 0.00, 0.00, 0.25, 0.00, 0.5500, 1
0.5, 0.50, 0.55, 0.00, 0.00, 0.00, 0.25, 0.6250, 0
0.5, 0.50, 0.40, 0.00, 0.00, 0.00, 0.25, 0.5240, 0
0.5, 0.25, 0.22, 0.25, 0.00, 0.00, 0.00, 0.2360, 2
0.5, 0.25, 0.68, 0.00, 0.25, 0.00, 0.00, 0.7840, 0
0.0, 0.75, 0.60, 0.00, 0.00, 0.00, 0.25, 0.7170, 2
0.0, 0.75, 0.34, 0.00, 0.00, 0.25, 0.00, 0.4650, 1
0.0, 0.50, 0.25, 0.00, 0.00, 0.25, 0.00, 0.3710, 0
